file	line	operation	signals	source	disposition
src/app/component/BLOCKS/banner/edit-banner.component.ts	5	<module>	legacy authority	import { MechanismService } from '../../../services/mechanism.service';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/banner/edit-banner.component.ts	60	<module>	legacy authority	private mechanism = inject(MechanismService);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/banner/lock-banner.component.ts	3	<module>	legacy authority	import { ActiveObjService } from '../../../services/active-obj.service';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/banner/lock-banner.component.ts	4	<module>	legacy authority	import { GridUtilsService } from '../../../services/grid-utils.service';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/banner/lock-banner.component.ts	5	<module>	legacy authority	import { MechanismService } from '../../../services/mechanism.service';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/banner/lock-banner.component.ts	41	<module>	legacy authority	private active = inject(ActiveObjService);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/banner/lock-banner.component.ts	42	<module>	legacy authority	private gridUtils = inject(GridUtilsService);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/banner/lock-banner.component.ts	43	<module>	legacy authority	private mechanism = inject(MechanismService);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/banner/lock-banner.component.ts	48	lockedInPlace	point graph	const joints = this.active.selectedLink.joints;	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	3	<module>	legacy record	import { RealLink } from '../../../model/link';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	6	<module>	legacy authority	import { MechanismService } from '../../../services/mechanism.service';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	20	<module>	legacy authority	private mechanism = inject(MechanismService);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	22	<module>	legacy record	readonly link = input<RealLink>();	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	37	<module>	legacy record	readonly parts = input<readonly (RealLink | Joint | Force)[]>();	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	48	commonIndex	legacy record	private commonIndex(parts: readonly (RealLink | Joint | Force)[]): number {	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	53	indexOf	legacy record	private indexOf(part: RealLink | Joint | Force): number {	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	60	indexOf	legacy record	return this.colorService.getIndexFromLinkColor((part as RealLink).fill);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	64	paint	legacy record	private paint(part: RealLink | Joint | Force, index: number): void {	pending S6/S7 semantic disposition
src/app/component/BLOCKS/color-picker/color-picker.component.ts	73	paint	legacy record	(part as RealLink).fill = this.colorService.getLinkColorFromIndex(index);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/editable-title/editable-title.component.ts	3	<module>	legacy authority	import { ActiveObjService } from 'src/app/services/active-obj.service';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/editable-title/editable-title.component.ts	4	<module>	legacy authority	import { MechanismService } from 'src/app/services/mechanism.service';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/editable-title/editable-title.component.ts	6	<module>	legacy record	import { RealJoint } from '../../../model/joint';	pending S6/S7 semantic disposition
src/app/component/BLOCKS/editable-title/editable-title.component.ts	39	<module>	legacy authority	protected activeObjService = inject(ActiveObjService);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/editable-title/editable-title.component.ts	40	<module>	legacy authority	private mechanismService = inject(MechanismService);	pending S6/S7 semantic disposition
src/app/component/BLOCKS/editable-title/editable-title.component.ts	108	validateNewID	point graph	...this.mechanismService.joints,	pending S6/S7 semantic disposition
src/app/component/BLOCKS/editable-title/editable-title.component.ts	109	validateNewID	point graph	...this.mechanismService.links,	pending S6/S7 semantic disposition
