file	line	concern	signals	source	semantic-review
src/app/component/BLOCKS/editable-title/editable-title.component.ts	110	topology-or-consumer	point-topology	...this.mechanismService.joints,	pending
src/app/component/BLOCKS/editable-title/editable-title.component.ts	158	topology-or-consumer	point-topology	if (obj instanceof RealJoint || obj instanceof Link || obj instanceof Force) return obj;	pending
src/app/component/BLOCKS/hold-field/hold-field.component.ts	124	topology-or-consumer	point-topology	return sealed ? [sealed.barrelFar, sealed.rodFar] : this.link().joints;	pending
src/app/component/MODALS/templates/templates.component.ts	247	topology-or-consumer	point-topology	this.mechanismSrv.joints.length === 0 &&	pending
src/app/component/analysis-graph-section/analysis-graph-section.component.ts	122	analysis-result	point-topology	mechanism.joints.length - 1	pending
src/app/component/analysis-graph/analysis-graph.component.ts	1092	analysis-result	point-topology	return Math.max(Math.min(step, mechanism.joints.length - 1), 0);	pending
src/app/component/analysis-graph/analysis-graph.component.ts	1477	analysis-result	point-topology	mechanism.joints.forEach((_, index) => {	pending
src/app/component/analysis-panel/analysis-panel.component.ts	407	analysis-result	point-topology	const traced = part instanceof RealJoint ? part.showCurve : false;	pending
src/app/component/analysis-panel/analysis-panel.component.ts	410	analysis-result	point-topology	part instanceof RealJoint ? 'joint' : 'link',	pending
src/app/component/analysis-panel/analysis-panel.component.ts	450	analysis-result	point-topology	if (one.key === 'traces') return part instanceof RealJoint && part.showCurve === true;	pending
src/app/component/analysis-panel/analysis-panel.component.ts	515	analysis-result	point-topology	return this.mechanismService.joints.find((joint) => joint.id === jointId)?.name ?? jointId;	pending
src/app/component/analysis-panel/analysis-panel.component.ts	611	analysis-result	point-topology	return this.mechanismService.joints.find((joint) => joint.id === id);	pending
src/app/component/analysis-panel/analysis-panel.component.ts	655	analysis-result	point-topology	return joint instanceof PrisJoint ||	pending
src/app/component/analysis-panel/analysis-panel.component.ts	656	analysis-result	point-topology	joint?.connectedJoints.some((candidate) => candidate instanceof PrisJoint && candidate.input)	pending
src/app/component/analysis-panel/analysis-panel.component.ts	676	analysis-result	point-topology	(joint): joint is RealJoint => joint instanceof RealJoint && joint.input	pending
src/app/component/analysis-setup/analysis-setup.component.ts	352	analysis-result	compound-material	.filter((link) => link instanceof RealLink || link instanceof SliderBlock)	pending
src/app/component/analysis-setup/analysis-setup.component.ts	356	analysis-result	compound-material	isBlock: body instanceof SliderBlock,	pending
src/app/component/analysis-setup/analysis-setup.component.ts	372	analysis-result	compound-material	if (row.isBlock || !(row.body instanceof RealLink)) {	pending
src/app/component/analysis-setup/analysis-setup.component.ts	378	analysis-result	shape-frame	this.nup.convertInertia(row.body.massMoI, this.nup.storedInertiaUnit(length), display),	pending
